"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          81,      -1.711747514,       1.020034769,      0.4482848933,       3.752533342
          0,           0,          82,      -1.751935355,      0.9873756259,      0.3873134888,       3.716648485
          0,           0,          83,       -1.80225432,      0.9462235467,       0.315543496,        3.67234293
          0,           0,          84,       -1.87741408,      0.8730887896,      0.2415476836,       3.604319017
          0,           0,          85,      -1.975558335,      0.7647483589,      0.1905276929,       3.510700949
          0,           0,          86,        -2.0563687,      0.6688481482,      0.1775398836,         3.4212325
          0,           0,          87,       -2.07243406,      0.6617343223,      0.1790684803,       3.383517239
          0,           0,          88,      -2.057317529,      0.6965190263,      0.1700395143,       3.385486704
          0,           0,          89,      -2.064703704,      0.6962496524,      0.1471165116,        3.37479228
          0,           0,          90,       -2.10883097,      0.6400996214,      0.1242908666,       3.329464758
          0,           0,          91,      -2.170787679,      0.5414837252,      0.1142377591,       3.263291174
          0,           0,          92,      -2.205264075,      0.4690751942,      0.1101555656,       3.222111643
          0,           0,          93,      -2.196385957,      0.4856354253,       0.094354788,       3.228630997
          0,           0,          94,      -2.187605247,      0.5150724599,     0.05770194556,       3.239155961
          0,           0,          95,      -2.216231371,      0.4884376227,    0.008590252464,       3.212000297
          0,           0,          96,       -2.29073129,      0.3835373666,    -0.02681981723,       3.135055703
          0,           0,          97,      -2.383366435,      0.2164474889,    -0.02973356381,       3.031695892
          0,           0,          98,       -2.41530707,      0.1867225585,    -0.01621833149,       2.989649842
          0,           0,          99,      -2.373723464,      0.3216683999,    -0.01158944347,       3.037447534
          0,           0,         100,       -2.33810406,      0.4046455073,    -0.02629748028,       3.083179264
          0,           0,         101,       -2.34463727,      0.4107601202,    -0.05477846596,       3.083465042
          0,           0,         102,      -2.388224903,      0.3559784205,    -0.08279184825,       3.041688644
          0,           0,         103,      -2.436875318,      0.2777623055,     -0.1021522421,       2.987539589
          0,           0,         104,      -2.450322761,      0.2466688683,     -0.1204041726,       2.965044931
          0,           0,         105,      -2.437273991,      0.2692232559,     -0.1507708225,       2.973973928
          0,           0,         106,      -2.439968009,      0.2746456226,     -0.1969475607,        2.97054952
          0,           0,         107,      -2.482370162,      0.2211612088,     -0.2448143527,       2.926086632
          0,           0,         108,      -2.561100396,     0.09942760644,      -0.268804922,       2.839873483
          0,           0,         109,      -2.631519862,    -0.02373896825,     -0.2646579946,       2.758423526
          0,           0,         110,      -2.631399298,     0.02602395935,     -0.2570847443,       2.762333121
          0,           0,         111,      -2.593273259,      0.1308437023,     -0.2663949351,       2.814685943
          0,           0,         112,      -2.579504791,      0.1742686154,     -0.2948207228,       2.839203993
          0,           0,         113,      -2.607069359,      0.1513344552,     -0.3312974616,       2.816540083
          0,           0,         114,      -2.661498745,     0.08083574753,     -0.3607481638,       2.758951405
          0,           0,         115,      -2.702139869,     0.01391301382,     -0.3802734722,        2.70567242
          0,           0,         116,      -2.700345946,     0.01003111577,     -0.4029425699,       2.695853361
          0,           0,         117,      -2.686787769,     0.03321633206,     -0.4413397815,       2.706302053
          0,           0,         118,        -2.7013764,     0.01940880491,     -0.4929548214,       2.690755853
          0,           0,         119,       -2.75749378,    -0.05720526365,     -0.5355611174,       2.629436131
          0,           0,         120,      -2.838188296,     -0.1872870506,     -0.5473027545,       2.536439016
          0,           0,         121,      -2.885266835,     -0.2559787658,     -0.5390955033,       2.483427621
          0,           0,         122,      -2.866050234,     -0.1754190814,     -0.5384089402,       2.518310583
          0,           0,         123,      -2.836802001,    -0.09849487501,     -0.5592344306,       2.564331184
          0,           0,         124,      -2.842300314,    -0.08635155673,     -0.5975015868,       2.567569124
          0,           0,         125,      -2.887139697,     -0.1365167908,     -0.6356352024,        2.52225462
          0,           0,         126,      -2.944896982,     -0.2214264948,     -0.6581705611,       2.450951757
          0,           0,         127,      -2.967021188,      -0.268887318,     -0.6717036306,       2.408177448
          0,           0,         128,      -2.948857746,     -0.2455619734,     -0.6955970767,       2.418438525
          0,           0,         129,      -2.937963477,     -0.2246270285,     -0.7393634333,        2.43048707
          0,           0,         130,      -2.965121124,     -0.2576953412,     -0.7918455837,        2.40156859
          0,           0,         131,      -3.031976649,     -0.3569123424,     -0.8235413125,       2.323960048
          0,           0,         132,      -3.105923688,     -0.4819029482,     -0.8212872535,       2.234845689
          0,           0,         133,      -3.125462823,     -0.4800716225,     -0.8104422732,       2.225150187
          0,           0,         134,      -3.096239318,      -0.385705905,     -0.8177669708,       2.281554346
          0,           0,         135,      -3.079876342,      -0.335875273,     -0.8493495361,       2.315122969
          0,           0,         136,      -3.103406667,     -0.3547275662,      -0.891976692,       2.296235245
          0,           0,         137,      -3.158086837,     -0.4323702357,     -0.9218386802,       2.230981675
          0,           0,         138,      -3.202253732,     -0.5214523779,     -0.9308971311,       2.158836905
          0,           0,         139,      -3.196290387,     -0.5311602097,     -0.9383943668,       2.143776698
          0,           0,         140,       -3.16911125,     -0.4863533481,     -0.9643928488,       2.171679095
          0,           0,         141,      -3.166798207,     -0.4749472499,      -1.010660393,       2.177916048
          0,           0,         142,       -3.20554218,     -0.5275083128,      -1.056379686,       2.135342492
          0,           0,         143,      -3.274746471,       -0.63821403,      -1.072658857,       2.053591555
          0,           0,         144,      -3.331020796,     -0.7229796608,      -1.063154837,       1.995109658
          0,           0,         145,      -3.332555637,     -0.6708764592,      -1.058677665,       2.021803208
          0,           0,         146,      -3.310755544,      -0.595170953,      -1.077801817,       2.071465573
          0,           0,         147,      -3.312397438,     -0.5781287477,      -1.117385066,       2.082191192
          0,           0,         148,      -3.348130646,     -0.6273287764,      -1.155665553,       2.042614618
          0,           0,         149,      -3.394563364,      -0.721964327,      -1.170051281,       1.971140621
          0,           0,         150,      -3.406550769,     -0.7811905415,      -1.167565757,       1.923674479
          0,           0,         151,      -3.379269495,      -0.743206173,       -1.17366013,       1.938946981
          0,           0,         152,      -3.356164731,     -0.6961562022,      -1.201660265,       1.967024742
          0,           0,         153,      -3.365861375,     -0.7018705251,      -1.244090647,       1.959915258
          0,           0,         154,      -3.411245136,     -0.7689859284,      -1.276098641,       1.909359191
          0,           0,         155,      -3.472826173,     -0.8691444081,      -1.280886724,        1.84215271
          0,           0,         156,      -3.511312726,     -0.9038828781,      -1.274715819,       1.819469536
          0,           0,         157,      -3.511519505,     -0.8480911653,       -1.28273305,       1.851370144
          0,           0,         158,      -3.506276046,     -0.8059936152,      -1.313351339,       1.878013951
          0,           0,         159,      -3.522993417,     -0.8220115523,       -1.35455915,       1.865223575
          0,           0,         160,      -3.557749799,     -0.8945859254,      -1.380582245,       1.813714228
          0,           0,         161,      -3.579190895,      -0.978426347,      -1.380319994,        1.75527059
          0,           0,         162,      -3.563757453,     -0.9788059502,      -1.373361852,       1.741424921
          0,           0,         163,      -3.534023683,     -0.9187370539,      -1.381285506,       1.767734866
          0,           0,         164,      -3.522601986,     -0.8869889816,       -1.40802169,       1.783387752
